z dist z_err dist_err
7.427660659912997954e-01 6.544076679207310399e+00 1.937360709904271949e-01 7.384450159061337615e-01
1.141792934913324231e+00 7.935044681702686731e+00 2.146357384817432212e-01 9.864537354511528910e-01
6.561871126568079582e-01 4.128500868196183227e+00 1.667232643963454664e-01 4.620086913400334727e-01
1.311677517828945927e+00 7.940508257849960394e+00 2.210393877247303074e-01 1.068388204719919798e+00
2.531987240033220510e-01 2.624981968509887853e+00 1.560677803274566899e-01 3.667777728721535180e-01
7.382857724848163050e-01 5.589371291278534493e+00 2.000674580537863401e-01 8.104414952647158721e-01
1.032281966686686703e+00 1.086739864370307806e+01 2.285165048405515265e-01 1.167591310339540112e+00
1.104219026798476166e+00 9.333436157957587298e+00 2.088467469067362414e-01 9.147842645215014112e-01
1.455835070571519507e+00 8.419072585989539448e+00 2.315514691900361355e-01 1.208945536916909536e+00
1.177817252760059663e+00 8.212097693757332451e+00 2.091981028950519184e-01 9.190692095281872698e-01
7.557563755242280301e-01 4.879597216297157480e+00 1.724743665805333614e-01 5.166722814484085990e-01
1.124004553272575757e+00 9.031645624098606717e+00 2.313296518930915147e-01 1.205901775353809491e+00
1.266170249286136196e+00 1.188817095259987866e+01 2.363899564083236093e-01 1.276175106052074515e+00
1.143507957286617804e+00 1.043638089463381746e+01 2.253018933182772410e-01 1.124474377417197246e+00
5.757149821090548070e-01 4.065281840490108323e+00 1.761799439778846676e-01 5.530986067611735058e-01
1.249934801259490413e+00 6.906149955314571542e+00 2.028105579544352277e-01 8.424807132229288342e-01
1.185175606693678496e+00 1.022240830822437196e+01 2.292689710353060240e-01 1.177785769604500876e+00
1.268336309761439296e+00 8.695573119173371168e+00 2.385155565245640763e-01 1.306215737555117773e+00
1.128151186384951155e+00 7.704530030141954811e+00 2.225420434208490450e-01 1.088018954780452185e+00
1.499809194428625370e+00 1.251520784926794860e+01 2.426149366745731228e-01 1.365024708274693799e+00
7.585608607114944224e-01 5.246957494958805590e+00 1.740495892940789602e-01 5.320417273870782227e-01
1.459645701617866553e+00 1.550520469704783721e+01 2.932917773766686165e-01 2.187833049823225462e+00
8.958311340484830243e-01 6.129408748010741093e+00 1.986921487080068049e-01 7.945705403579574888e-01
1.119292872456473242e+00 7.588807596626502949e+00 2.010955957421115825e-01 8.223901324549396374e-01
1.352058554982160654e+00 1.165111324612256993e+01 2.441070569836273352e-01 1.386716213402867215e+00
8.663826678357657851e-01 6.415854499736536098e+00 2.014948686342605544e-01 8.270497100159879267e-01
1.129311393373952033e+00 5.506924711116036875e+00 1.834189471827346318e-01 6.269735652517410829e-01
5.141713767289843862e-01 4.246452834737866056e+00 1.653576143422589295e-01 4.493635843826106480e-01
1.154821030747871013e+00 8.021894648076685286e+00 2.046113732643331518e-01 8.637922617440170203e-01
1.498792802818369685e+00 8.087556721190146902e+00 2.562341110817913936e-01 1.568683380387988935e+00
3.617088117432262218e-01 3.590094044787533356e+00 1.566493409130518266e-01 3.717715374723135069e-01
1.476817088557042634e+00 1.112418283850547773e+01 2.617161430145268919e-01 1.654265974440700226e+00
1.066048248423909328e+00 5.281961270543058973e+00 1.849927501045370848e-01 6.435085345071469565e-01
1.231102530176325871e+00 1.262464415046340349e+01 2.397452296515482917e-01 1.323735587429930138e+00
6.660977894921636944e-01 3.089607817098028786e+00 1.554808900130646987e-01 3.617622023628421779e-01
1.314036896448973479e+00 1.910932291929192317e+01 2.979460838260374334e-01 2.272379891464955115e+00
1.398153178100521199e+00 7.662301098971068036e+00 2.421824541058038571e-01 1.358766076992050653e+00
1.160385880291172622e+00 5.094255411042115433e+00 1.897393951345421326e-01 6.944020284115418606e-01
1.301804059476795450e+00 7.772562875300264906e+00 2.055686746551341482e-01 8.752110822216850883e-01
1.193418087307468012e+00 7.429806320714140710e+00 1.995991624130849795e-01 8.050229608320418340e-01
1.279814964381179587e+00 1.273703606649493558e+01 2.800753669813861868e-01 1.956041927817349979e+00
1.083945686867552771e+00 9.583690263279173394e+00 2.240879188463403837e-01 1.108374812276801347e+00
5.337643269223868447e-01 3.949388903685671526e+00 1.559352469705626854e-01 3.656430368988118351e-01
3.818303894632865680e-01 2.097777128123854862e+00 1.376430016695883995e-01 2.209065944927356140e-01
1.090090900588094769e+00 1.373849125773372037e+01 2.565273952363180676e-01 1.573209471798234560e+00
1.262171179931152132e+00 9.161359926649517149e+00 2.252439468229899266e-01 1.123703616430203001e+00
1.395141301415333102e+00 6.190232469045717778e+00 2.194089153792099234e-01 1.047261558727917485e+00
5.312788468888403060e-01 3.590050739341354102e+00 1.536862999193131518e-01 3.465751286820994981e-01
1.183723661545856398e+00 1.019506709543146350e+01 2.439597071389074390e-01 1.384567341208939206e+00
6.478241787455307765e-01 3.936115964630388042e+00 1.692113401721923871e-01 4.853778424351170018e-01
1.184151595585340999e+00 1.115533550011507735e+01 2.292663599485638137e-01 1.177750327653156459e+00
1.255689817597945623e+00 8.687409589076876770e+00 2.140082169155325953e-01 9.785747065054692939e-01
